0000,rw
0001,rw
0002,rw
0003,rw
0004,rw
0005,r
0007,r
0008,rw
0009,rw
000a,rw
000b,rw
000c,rw
000d,rw
000e,rw
000f,rw
0010,r
0011,r
0012,r
0013,r
0014,r
0015,r
0016,r
0017,r
0018,r
0019,r
001a,rw
001b,rw
001c,rw
001d,rw
001e,rw
001f,rw
0020,rw
0030,r
0031,r
0032,r
0033,r
0034,r
0035,r
0036,r
0037,r
0038,r
0039,r
003a,rw
0050,rw
0060,rw
0061,rw
0062,rw
0063,rw
0064,rw
0065,rw
0066,rw
0067,rw
0068,rw
0069,rw
006a,rw
0070,r
0071,r
0072,r
0073,r
0074,r
0075,r
0076,r
0077,r
0078,r
0079,r
007a,r
007b,r
007c,r
007d,r
007e,r
00d8,rw
00d9,rw
00da,rw
00db,rw
00dc,rw
00dd,rw
00de,rw
00df,rw
00e0,rw
00e1,rw
00e2,rw
00e3,rw
00e4,rw
00e5,rw
00e6,rw
00e7,rw
00e8,r
00e9,r
00ea,r
00eb,r
00ec,r
00ed,r
00ee,r
00ef,r
00f7,r
00f8,rw
00f9,rw
00fa,rw
00fb,rw
00fc,r
00fd,r
00fe,r
00ff,r
0100,r
0101,r
2a00,rw
2a01,rw
2a02,rw
2a03,rw
2a04,rw
2a05,rw
2a06,rw
2a07,rw
2a08,rw
2a09,rw
2a0a,rw
2a0b,rw
2a0c,rw
2a0d,rw
2a0e,rw
2a0f,rw
2a10,rw
2a11,rw
2a12,rw
2a13,rw
2a14,rw
2a15,rw
2a16,rw
2a17,rw
2a18,rw
2a19,rw
2a1a,rw
2a1b,rw
2a1c,rw
2a1d,rw
2a1e,rw
2a1f,rw
2a20,rw
2a21,rw
2a22,rw
2a23,rw
2a24,rw
2a25,rw
2a26,rw
2a27,rw
2a28,rw
2a29,rw
2a2a,rw
2a2b,rw
2a2c,rw
2a2d,rw
2a2e,rw
2a2f,rw
2a30,rw
2a31,rw
2a32,rw
2a33,rw
2a34,rw
2a35,rw
2a36,rw
2a37,rw
2a38,rw
2a39,rw
2a3a,rw
2a3b,rw
2a3c,rw
2a3d,rw
2a3e,rw
2a3f,rw
2a40,rw
2a41,rw
2a42,rw
2a43,rw
2a44,rw
2a45,rw
2a46,rw
2a47,rw
2a48,rw
2a49,rw
2a4a,rw
2a4b,rw
2a4c,rw
2a4d,rw
2a4e,rw
2a4f,rw
2a50,rw
2a51,rw
2a52,rw
2a53,rw
2a54,rw
2a55,rw
2a56,rw
2a57,rw
2a58,rw
2a59,rw
2a5a,rw
2a5b,rw
2a5c,rw
2a5d,rw
2a5e,rw
2a5f,rw
2a60,rw
2a61,rw
2a62,rw
2a63,rw
2a64,rw
2a65,rw
2a66,rw
2a67,rw
2a68,rw
2a69,rw
2a6a,rw
2a6b,rw
2a6c,rw
2a6d,rw
2a6e,rw
2a6f,rw
2a70,rw
2a71,rw
2a72,rw
2a73,rw
2a74,rw
2a75,rw
2a76,rw
2a77,rw
2a78,rw
2a79,rw
2a7a,rw
2a7b,rw
2a7c,rw
2a7d,rw
2a7e,rw
2a7f,rw
2a80,rw
2a81,rw
2a82,rw
2a83,rw
2a84,rw
2a85,rw
2a86,rw
2a87,rw
2a88,rw
2a89,rw
2a8a,rw
2a8b,rw
2a8c,rw
2a8d,rw
2a8e,rw
2a8f,rw
2a90,rw
2a91,rw
2a92,rw
2a93,rw
2a94,rw
2a95,rw
2a96,rw
2a97,rw
2a98,rw
2a99,rw
2a9a,rw
2a9b,rw
2a9c,rw
2a9d,rw
2a9e,rw
2a9f,rw
2aa0,rw
2aa1,rw
2aa2,rw
2aa3,rw
2aa4,rw
2aa5,rw
2aa6,rw
2aa7,rw
2aa8,rw
2aa9,rw
2aaa,rw
2aab,rw
2aac,rw
2aad,rw
2aae,rw
2aaf,rw
2ab0,rw
2ab1,rw
2ab2,rw
2ab3,rw
2ab4,rw
2ab5,rw
2ab6,rw
2ab7,rw
2ab8,rw
2ab9,rw
2aba,rw
2abb,rw
2abc,rw
2abd,rw
2abe,rw
2abf,rw
2ac0,rw
2ac1,rw
2ac2,rw
2ac3,rw
2ac4,rw
2ac5,rw
2ac6,rw
2ac7,rw
2ac8,rw
2ac9,rw
2aca,rw
2acb,rw
2acc,rw
2acd,rw
2ace,rw
2acf,rw
2ad0,rw
2ad1,rw
2ad2,rw
2ad3,rw
2ad4,rw
2ad5,rw
2ad6,rw
2ad7,rw
2ad8,rw
2ad9,rw
2ada,rw
2adb,rw
2adc,rw
2add,rw
2ade,rw
2adf,rw
2ae0,rw
2ae1,rw
2ae2,rw
2ae3,rw
2ae4,rw
2ae5,rw
2ae6,rw
2ae7,rw
2ae8,rw
2ae9,rw
2aea,rw
2aeb,rw
2aec,rw
2aed,rw
2aee,rw
2aef,rw
2af0,rw
2af1,rw
2af2,rw
2af3,rw
2af4,rw
2af5,rw
2af6,rw
2af7,rw
2af8,rw
2af9,rw
2afa,rw
2afb,rw
2afc,rw
2afd,rw
2afe,rw
2aff,rw
3000,rw
3001,rw
3002,rw
3003,rw
3004,rw
3005,rw
3006,rw
3007,rw
3008,rw
3009,rw
300a,rw
300b,rw
300c,rw
300d,rw
300e,rw
300f,rw
3010,rw
3011,rw
3012,rw
3013,rw
3014,rw
3015,rw
3016,rw
3017,rw
3018,rw
3019,rw
301a,rw
301b,rw
301c,rw
301d,rw
301e,rw
301f,rw
3020,rw
3021,rw
